"entrezgene","mgi_symbol","gene_biotype","ensembl_gene_id","description","featureCounts_WT.1","featureCounts_WT.2","featureCounts_WT.3","featureCounts_p53null.1","featureCounts_p53null.2","featureCounts_p53null.3","Base_Mean","log2(FC)","StdErr","Wald-Stats","P-value","P-adj"
14778,"Gpx3","protein_coding","ENSMUSG00000018339","glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]",12452.8369,12993.06026,13603.21008,681.2131977,478.3012722,523.6016908,6788.703901,-4.444836098,0.145065651,-30.64016921,3.57e-206,5.87e-202
76650,"Srxn1","protein_coding","ENSMUSG00000032802","sulfiredoxin 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104971]",33121.94387,38015.25879,36845.78096,4302.697507,4990.304925,4616.765145,20315.45853,-2.91990394,0.113762129,-25.66674846,2.75e-145,2.26e-141
69542,"2300002M23Rik","protein_coding","ENSMUSG00000039269","RIKEN cDNA 2300002M23 gene [Source:MGI Symbol;Acc:MGI:1916792]",7258.359537,7951.186693,7260.383896,326.9067495,389.9472183,550.8124874,3956.266097,-4.022977973,0.174566448,-23.04553952,1.63e-117,8.93e-114
12575,"Cdkn1a","protein_coding","ENSMUSG00000023067","cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556]",32627.28515,40599.36522,40468.18756,5953.293146,6149.102323,6963.490203,22126.78727,-2.536375096,0.126599078,-20.03470425,2.74e-89,1.13e-85
11307,"Abcg1","protein_coding","ENSMUSG00000024030","ATP binding cassette subfamily G member 1 [Source:MGI Symbol;Acc:MGI:107704]",5138.393608,6990.774118,6633.108081,192.7427078,257.4161376,399.9162521,3268.725151,-4.258941396,0.214062888,-19.89574859,4.43e-88,1.46e-84
23936,"Lynx1","protein_coding","ENSMUSG00000022594","Ly6/neurotoxin 1 [Source:MGI Symbol;Acc:MGI:1345180]",7652.067495,7428.282404,7586.255906,1554.224286,1439.151608,1556.787389,4536.128181,-2.287161777,0.115220822,-19.85024704,1.1e-87,3e-84
213391,"Rassf4","protein_coding","ENSMUSG00000042129","Ras association (RalGDS/AF-6) domain family member 4 [Source:MGI Symbol;Acc:MGI:2386853]",146.9394374,128.6789078,121.2288365,2386.608235,3101.737024,1779.421179,1277.435603,3.993824085,0.218745903,18.25782352,1.79e-74,4.21e-71
17314,"Mgmt","protein_coding","ENSMUSG00000054612","O-6-methylguanine-DNA methyltransferase [Source:MGI Symbol;Acc:MGI:96977]",2274.757092,2447.238865,2312.245423,132.2744073,57.76995827,120.3871604,1224.112151,-4.247245301,0.237355043,-17.89405969,1.31e-71,2.69e-68
26415,"Mapk13","protein_coding","ENSMUSG00000004864","mitogen-activated protein kinase 13 [Source:MGI Symbol;Acc:MGI:1346864]",9010.416035,10552.84025,9888.491608,2259.057914,2229.240743,2366.514729,6051.093546,-2.074911713,0.118240766,-17.54819241,6.14e-69,1.12e-65
76943,"Psapl1","protein_coding","ENSMUSG00000043430","prosaposin-like 1 [Source:MGI Symbol;Acc:MGI:1924193]",14494.28557,15449.65759,13090.48996,738.8470466,823.2219054,1531.225732,7687.954635,-3.634230659,0.208560411,-17.42531408,5.3e-68,8.71e-65
433619,"Kprp","protein_coding","ENSMUSG00000059832","keratinocyte expressed, proline-rich [Source:MGI Symbol;Acc:MGI:1920981]",991.5607836,1142.902663,1231.195615,79.36464439,71.36288963,62.66728898,596.5089807,-3.783600814,0.222281221,-17.02168446,5.67e-65,8.47e-62
16009,"Igfbp3","protein_coding","ENSMUSG00000020427","insulin-like growth factor binding protein 3 [Source:MGI Symbol;Acc:MGI:96438]",3230.424272,3050.859923,3800.357195,16205.50453,17174.66877,13980.57743,9573.73202,2.194037358,0.132744088,16.52832442,2.29e-61,3.14e-58
20355,"Sema4f","protein_coding","ENSMUSG00000000627","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]",9021.632786,10828.915,11654.65117,2017.184712,2010.904283,2347.549628,6313.472929,-2.262980404,0.137267728,-16.48588808,4.63e-61,5.84e-58
216643,"Gabrp","protein_coding","ENSMUSG00000020159","gamma-aminobutyric acid (GABA) A receptor, pi [Source:MGI Symbol;Acc:MGI:2387597]",773.9558153,951.0541094,687.3341372,6540.024625,12638.87749,8361.960231,4992.201068,3.368267771,0.20436542,16.48159346,4.98e-61,5.84e-58
17119,"Mxd1","protein_coding","ENSMUSG00000001156","MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]",18150.94638,18584.74371,18346.70538,3546.84375,3133.170678,4467.518049,11038.32133,-2.261739072,0.13918276,-16.25013816,2.23e-59,2.44e-56
18008,"Nes","protein_coding","ENSMUSG00000004891","nestin [Source:MGI Symbol;Acc:MGI:101784]",61.6921302,116.9808253,37.81449946,3123.565647,2921.630684,1689.543094,1325.20448,4.69967399,0.290759166,16.16345946,9.13e-59,9.38e-56
22401,"Zmat3","protein_coding","ENSMUSG00000027663","zinc finger matrin type 3 [Source:MGI Symbol;Acc:MGI:1195270]",13239.13114,13592.00209,14014.72081,3036.642465,3128.922887,3814.458932,8470.979721,-2.002185432,0.125475809,-15.95674453,2.56e-57,2.47e-54
68567,"Cgref1","protein_coding","ENSMUSG00000029161","cell growth regulator with EF hand domain 1 [Source:MGI Symbol;Acc:MGI:1915817]",1793.558476,2075.23984,1898.510311,127.5503213,146.1240121,220.9846506,1043.661269,-3.378198121,0.215050777,-15.70883942,1.32e-55,1.2e-52
72043,"Sulf2","protein_coding","ENSMUSG00000006800","sulfatase 2 [Source:MGI Symbol;Acc:MGI:1919293]",9178.667299,9674.31425,9445.839526,1468.245921,1061.098204,1788.491445,5436.109441,-2.637400328,0.168440455,-15.65776061,2.94e-55,2.54e-52
213948,"Atg9b","protein_coding","ENSMUSG00000038295","autophagy related 9B [Source:MGI Symbol;Acc:MGI:2685420]",6423.833267,7043.415489,5751.140491,851.2802928,838.5139532,479.0749329,3564.543071,-3.031779561,0.193768561,-15.64639559,3.52e-55,2.89e-52
214112,"Nipal4","protein_coding","ENSMUSG00000020411","NIPA-like domain containing 4 [Source:MGI Symbol;Acc:MGI:2444671]",4198.429879,4610.214324,4347.555246,1071.422699,965.0981264,1127.186632,2719.984484,-2.020688244,0.133611799,-15.12357639,1.13e-51,8.86e-49
80708,"Pacsin3","protein_coding","ENSMUSG00000027257","protein kinase C and casein kinase substrate in neurons 3 [Source:MGI Symbol;Acc:MGI:1891410]",25578.67886,26120.64847,26242.15043,6809.297525,7855.015209,8413.908115,16836.61644,-1.733318168,0.115534258,-15.00263385,7.06e-51,5.27e-48
